time	position	velocity
0.7100000000000004	0.13009116027898632	0.3211949225539104
0.7200000000000004	0.13330154837289096	0.3237679201487099
0.7300000000000004	0.1365374842874677	0.3262938391158355
0.7400000000000004	0.13979849916455458	0.32877298034074015
0.7500000000000004	0.1430841271476143	0.33120564481797915
0.7600000000000005	0.14639390538276975	0.3335921336301579
0.7700000000000005	0.14972737401963016	0.3359327479270839
0.7800000000000005	0.15308407621190961	0.33822778890512156
0.7900000000000005	0.1564635581178403	0.34047755778674943
0.8000000000000005	0.15986536890038214	0.34268235580031875
0.8100000000000005	0.1632890607272313	0.34484248416001356
0.8200000000000005	0.166734188770629	0.3469582440460108
0.8300000000000005	0.17020031120697324	0.34902993658484
0.8400000000000005	0.17368698921623477	0.35105786282994234
0.8500000000000005	0.17719378698117985	0.35304232374242756
0.8600000000000005	0.18072027168640162	0.35498362017202884
0.8700000000000006	0.1842660135171617	0.35688205283825425
0.8800000000000006	0.18783058565804459	0.3587379223117347
0.8900000000000006	0.19141356429142617	0.360551528995767
0.9000000000000006	0.195014528595759	0.362323173108052
0.9100000000000006	0.1986330607436755	0.3640531546626266
0.9200000000000006	0.20226874589991173	0.365741773451989
0.9300000000000006	0.2059211722190531	0.3673893290294165
0.9400000000000006	0.20958993084310437	0.3689961206914754
0.9500000000000006	0.21327461589888555	0.37056244746072153
0.9600000000000006	0.21697482449525576	0.3720886080685914
0.9700000000000006	0.22069015672016692	0.3735749009384826
0.9800000000000006	0.22442021563754902	0.3750216241690235
0.9900000000000007	0.22816460728402918	0.37642907551753035
1.0000000000000007	0.231922940665486	0.377797552383652
1.0100000000000007	0.23569482775344122	0.37912735179320095
1.0200000000000007	0.23947988348129073	0.3804187703821703
1.0300000000000007	0.24327772574037645	0.38167210438093524
1.0400000000000007	0.24708797537590113	0.3828876495986388
1.0500000000000007	0.25091025618268786	0.3840657014077611
1.0600000000000007	0.2547441949007861	0.3852065547288707
1.0700000000000007	0.2585894212109261	0.3863105040155583
1.0800000000000007	0.2624455677298234	0.38737784323955027
1.0900000000000007	0.2663122700053355	0.38840886587600354
1.1000000000000008	0.270189166511472	0.38940386488897877
1.1100000000000008	0.27407589864326043	0.3903631327170924
1.1200000000000008	0.27797211071146943	0.3912869612593462
1.1300000000000008	0.281877449937191	0.3921756418611338
1.1400000000000008	0.2857915664462835	0.3930294653004229
1.1500000000000008	0.2897141132636776	0.3938487217741126
1.1600000000000008	0.2936447463075459	0.39463370088456556
1.1700000000000008	0.29758312438333956	0.3953846916263128
1.1800000000000008	0.30152890917769193	0.39610198237293176
1.1900000000000008	0.3054817652521921	0.39678586086409573
1.2000000000000008	0.30944136003702977	0.39743661419279447
1.2100000000000009	0.31340736382451273	0.3980545287927246
1.2200000000000009	0.3173794497624593	0.3986398904258495
1.2300000000000009	0.3213572938474671	0.3991929841701272
1.2400000000000009	0.32534057491805946	0.39971409440740613
1.2500000000000009	0.32932897464771205	0.4002035048114871
1.260000000000001	0.33332217753776033	0.40066149833635134
1.270000000000001	0.33731987091019033	0.4010883572045534
1.280000000000001	0.341321744900314	0.40148436289577777
1.290000000000001	0.3453274924493304	0.40184979613555893
1.300000000000001	0.34933680929677585	0.4021849368841637
1.310000000000001	0.3533493939728621	0.40249006432563456
1.320000000000001	0.35736494779070677	0.4027654568569941
1.330000000000001	0.3613831748384563	0.40301139207760855
1.340000000000001	0.3654037819713026	0.40322814677871033
1.350000000000001	0.3694264788033963	0.4034159969330784
1.360000000000001	0.373450977699657	0.40357521768487553
1.370000000000001	0.3774769937674829	0.4037060833396419
1.380000000000001	0.38150424484836043	0.4038088673544435
1.390000000000001	0.3855324515093767	0.4038838423281751
1.400000000000001	0.38956133703463514	0.4039312799920166
1.410000000000001	0.39359062741657647	0.403951451200042
1.420000000000001	0.3976200513472064	0.40394462591997954
1.430000000000001	0.4016493402092313	0.40391107322412323
1.440000000000001	0.40567822806710413	0.4038510612803938
1.450000000000001	0.40970645165798086	0.40376485734354844
1.460000000000001	0.41373375038259025	0.40365272774653926
1.470000000000001	0.41775986629601725	0.40351493789201803
1.480000000000001	0.42178454409840244	0.4033517522439877
1.490000000000001	0.42580753112555836	0.40316343431959917
1.500000000000001	0.42982857733950436	0.4029502466810923
1.5100000000000011	0.4338474353189215	0.40271245092788077
1.5200000000000011	0.4378638602495288	0.4024503076887792
1.5300000000000011	0.4418776099143823	0.4021640766143723
1.5400000000000011	0.44588844468409844	0.40185401636952467
1.5500000000000012	0.449896127507003	0.40152038462603057
1.5600000000000012	0.45390042389920704	0.40116343805540267
1.5700000000000012	0.4579011019346114	0.40078343232179897
1.5800000000000012	0.4618979322348408	0.4003806220750869
1.5900000000000012	0.46589068795910926	0.39995526094404354
1.6000000000000012	0.4698791447940179	0.3995076015296916
1.6100000000000012	0.47386308094328655	0.39903789539876955
1.6200000000000012	0.47784227711742105	0.3985463930773354
1.6300000000000012	0.48181651652331625	0.39803334404450336
1.6400000000000012	0.4857855848537976	0.39749899672631195
1.6500000000000012	0.4897492702771014	0.39694359848972327
1.6600000000000013	0.49370736342629606	0.3963673956367521
1.6700000000000013	0.49765965738864437	0.395770633398724
1.6800000000000013	0.5016059476949096	0.3951535559306616
1.6900000000000013	0.5055460323086054	0.3945164063057983
1.7000000000000013	0.5094797116151915	0.39385942651021816
1.7100000000000013	0.513406788411216	0.39318285743762116
1.7200000000000013	0.5173270678934063	0.3924869388842132
1.7300000000000013	0.5212403576477089	0.3917719095437198
1.7400000000000013	0.5251464676382798	0.3910380070025221
1.7500000000000013	0.5290452101964267	0.39028546773491535
1.7600000000000013	0.5329364000095048	0.38951452709848783
1.7700000000000014	0.5368198541097656	0.38872541932962
1.7800000000000014	0.5406953918631624	0.38791837753910313
1.7900000000000014	0.5445628349581114	0.3870936337078754
1.8000000000000014	0.5484220073942112	0.3862514186828763
1.8100000000000014	0.5522727354709207	0.3853919621730169
1.8200000000000014	0.5561148477761977	0.3845154927452658
1.8300000000000014	0.5599481751750983	0.38362223782085
1.8400000000000014	0.5637725507983388	0.38271242367156916
1.8500000000000014	0.567587810030821	0.3817862754162235
1.8600000000000014	0.5713937905001228	0.38084401701715287
1.8700000000000014	0.5751903320649535	0.37988587127688744
1.8800000000000014	0.5789772768035766	0.3789120598349087
1.8900000000000015	0.5827544690022005	0.37792280316451965
1.9000000000000015	0.5865217551433386	0.37691832056982355
1.9100000000000015	0.5902789838941386	0.3758988301828103
1.9200000000000015	0.5940260060946838	0.3748645489605496
1.9300000000000015	0.5977626747462665	0.3738156926824899
1.9400000000000015	0.6014888449996347	0.3727524759478623
1.9500000000000015	0.6052043741432128	0.37167511217318894
1.9600000000000015	0.6089091215912983	0.3705838135898939
1.9700000000000015	0.6126029488722344	0.3694787912420173
1.9800000000000015	0.6162857196165608	0.3683602549840304
1.9900000000000015	0.6199572995451417	0.3672284134787514
2.0000000000000013	0.6236175564572747	0.3660834741953613
2.010000000000001	0.627266360218779	0.3649256434075184
2.020000000000001	0.6309035827500659	0.36375512619157085
2.0300000000000007	0.6345290980141908	0.36257212642486675
2.0400000000000005	0.6381427820048897	0.3613768467841602
2.0500000000000003	0.6417445127345991	0.36016948874411303
2.06	0.6453341702224614	0.3589502525758912
2.07	0.6489116364823171	0.357719337345855
2.0799999999999996	0.6524767955106834	0.356476940914342
2.0899999999999994	0.6560295332747214	0.3552232599345426
